no_of_adults,no_of_children,meal_plan,car_parking_space,lead_time,booking_status,booking_date,no_of_nights
2,0,Meal Plan 1,N,224,Not_Canceled,2017-10-02,3
2,0,Not Selected,N,5,Not_Canceled,2018-11-06,5
1,0,Meal Plan 1,N,1,Canceled,2018-02-28,3
2,0,Meal Plan 1,N,211,Canceled,2018-05-20,2
2,0,Meal Plan 2,N,346,Canceled,2018-09-13,2
2,0,Meal Plan 1,N,34,Not_Canceled,2017-10-15,4
2,0,Meal Plan 1,N,83,Not_Canceled,2018-12-26,4
3,0,Meal Plan 1,N,121,Not_Canceled,2018-07-06,4
2,0,Meal Plan 1,N,44,Not_Canceled,2018-10-18,5
1,0,Not Selected,N,0,Not_Canceled,2018-09-11,1
1,0,Meal Plan 1,N,35,Not_Canceled,2018-04-30,3
2,0,Meal Plan 1,N,47,Not_Canceled,2017-10-20,2
1,0,Meal Plan 1,N,0,Not_Canceled,2017-10-05,1
2,0,Not Selected,N,1,Not_Canceled,2017-08-10,4
2,0,Meal Plan 1,N,12,Not_Canceled,2017-10-04,1
1,0,Meal Plan 1,N,122,Not_Canceled,2018-11-25,1
2,0,Meal Plan 1,N,2,Not_Canceled,2018-03-20,6
2,0,Meal Plan 1,N,37,Not_Canceled,2018-10-13,3
2,0,Not Selected,N,130,Not_Canceled,2018-05-22,3
2,0,Meal Plan 1,N,99,Not_Canceled,2018-04-28,2
2,0,Meal Plan 1,N,60,Not_Canceled,2017-09-21,2
2,0,Meal Plan 2,N,56,Not_Canceled,2017-09-17,2
2,0,Meal Plan 1,N,3,Not_Canceled,2017-09-19,2
2,0,Meal Plan 1,N,107,Not_Canceled,2018-11-13,4
0,2,Meal Plan 1,N,56,Not_Canceled,2018-12-07,3
2,0,Not Selected,N,2,Not_Canceled,2018-01-09,1
2,0,Meal Plan 1,N,72,Not_Canceled,2018-10-07,2
2,0,Not Selected,Y,23,Not_Canceled,2018-04-27,1
2,0,Meal Plan 1,N,289,Not_Canceled,2017-10-17,1
2,0,Meal Plan 1,N,186,Canceled,2018-07-30,3
2,0,Meal Plan 1,N,64,Not_Canceled,2018-11-01,4
2,0,Meal Plan 1,N,35,Not_Canceled,2018-06-21,2
3,0,Meal Plan 1,N,96,Not_Canceled,2018-04-10,3
2,0,Meal Plan 1,N,55,Not_Canceled,2017-11-18,4
2,0,Meal Plan 1,N,146,Not_Canceled,2017-12-29,3
1,0,Meal Plan 1,N,32,Not_Canceled,2017-11-20,2
2,0,Meal Plan 2,N,55,Not_Canceled,2018-04-06,1
2,0,Not Selected,N,57,Not_Canceled,2018-11-01,4
1,0,Meal Plan 1,N,7,Not_Canceled,2018-12-29,4
1,0,Not Selected,N,124,Not_Canceled,2018-05-30,7
2,0,Meal Plan 2,N,169,Canceled,2018-04-22,4
1,0,Meal Plan 1,N,6,Not_Canceled,2018-05-16,3
2,0,Meal Plan 1,N,51,Not_Canceled,2017-11-11,4
2,0,Not Selected,N,13,Not_Canceled,2018-06-13,1
2,0,Meal Plan 1,N,100,Not_Canceled,2018-05-19,4
2,0,Not Selected,N,139,Not_Canceled,2018-07-28,1
2,0,Meal Plan 1,N,117,Not_Canceled,2018-12-26,3
2,0,Meal Plan 1,N,86,Not_Canceled,2018-04-06,3
2,2,Meal Plan 1,Y,2,Not_Canceled,2018-09-02,1
1,0,Meal Plan 1,N,19,Not_Canceled,2018-05-03,3
1,0,Meal Plan 1,N,192,Not_Canceled,2018-06-24,2
1,0,Meal Plan 1,N,2,Not_Canceled,2017-09-10,1
2,0,Meal Plan 1,N,86,Not_Canceled,2018-12-18,3
2,0,Meal Plan 1,N,30,Not_Canceled,2018-10-05,3
2,0,Meal Plan 1,N,179,Not_Canceled,2018-06-03,2
2,0,Meal Plan 1,N,55,Not_Canceled,2018-04-06,1
2,0,Meal Plan 1,N,74,Not_Canceled,2018-04-25,3
2,0,Meal Plan 1,N,143,Not_Canceled,2018-08-25,3
2,0,Not Selected,N,34,Not_Canceled,2018-11-14,1
2,0,Meal Plan 1,Y,30,Not_Canceled,2018-08-29,2
2,0,Meal Plan 1,N,34,Not_Canceled,2017-10-25,5
2,0,Meal Plan 1,N,18,Not_Canceled,2018-03-09,5
3,0,Meal Plan 1,N,267,Not_Canceled,2018-12-31,2
2,0,Meal Plan 1,N,64,Not_Canceled,2018-06-27,3
2,0,Meal Plan 1,N,46,Not_Canceled,2018-03-29,5
2,0,Meal Plan 1,N,128,Canceled,2018-10-11,5
2,0,Not Selected,N,20,Not_Canceled,2018-12-25,2
2,0,Meal Plan 1,N,40,Not_Canceled,2018-03-14,5
2,0,Meal Plan 1,Y,46,Not_Canceled,2018-03-04,3
1,0,Meal Plan 1,N,1,Not_Canceled,2018-10-17,1
2,0,Not Selected,N,196,Not_Canceled,2018-09-04,5
1,0,Meal Plan 1,N,188,Canceled,2018-06-15,2
2,0,Not Selected,N,17,Not_Canceled,2018-12-10,1
2,0,Meal Plan 1,N,146,Not_Canceled,2018-08-09,3
2,0,Not Selected,N,110,Not_Canceled,2018-05-05,4
2,0,Meal Plan 1,Y,68,Not_Canceled,2018-03-18,3
2,0,Meal Plan 1,N,73,Not_Canceled,2018-04-09,3
2,0,Meal Plan 1,N,92,Not_Canceled,2018-05-19,1
2,0,Meal Plan 1,N,171,Canceled,2018-08-30,7
2,1,Meal Plan 1,Y,134,Not_Canceled,2018-08-04,2
2,0,Meal Plan 1,N,118,Not_Canceled,2018-04-13,4
2,0,Meal Plan 1,N,30,Not_Canceled,2018-11-17,3
2,2,Meal Plan 1,N,30,Not_Canceled,2018-12-22,4
2,0,Not Selected,N,189,Not_Canceled,2018-10-23,1
3,0,Meal Plan 1,N,55,Not_Canceled,2018-05-13,3
1,0,Meal Plan 1,N,55,Not_Canceled,2018-12-13,4
2,0,Meal Plan 1,N,16,Not_Canceled,2017-10-31,1
2,0,Meal Plan 1,N,24,Not_Canceled,2017-10-08,3
2,0,Meal Plan 1,N,8,Not_Canceled,2018-02-16,3
2,0,Meal Plan 1,Y,10,Not_Canceled,2017-11-02,5
2,0,Meal Plan 1,N,0,Not_Canceled,2017-09-21,4
2,0,Not Selected,N,12,Not_Canceled,2018-06-30,1
2,0,Meal Plan 1,N,32,Not_Canceled,2017-09-05,3
2,0,Not Selected,N,1,Not_Canceled,2018-06-27,1
2,0,Not Selected,N,122,Not_Canceled,2018-06-16,3
2,0,Meal Plan 1,N,40,Not_Canceled,2018-06-30,5
2,2,Meal Plan 1,N,116,Canceled,2018-06-26,4
3,0,Meal Plan 1,Y,123,Not_Canceled,2018-08-13,4
2,1,Meal Plan 1,N,105,Not_Canceled,2018-11-12,7
2,0,Meal Plan 1,N,2,Not_Canceled,2017-11-14,5
2,0,Meal Plan 2,N,286,Not_Canceled,2018-09-16,2
2,0,Meal Plan 1,N,68,Canceled,2018-03-10,4
2,0,Meal Plan 1,N,148,Not_Canceled,2018-05-05,3
3,0,Meal Plan 1,N,68,Not_Canceled,2018-04-24,2
2,0,Meal Plan 1,N,30,Not_Canceled,2018-03-30,2
1,0,Meal Plan 1,N,117,Not_Canceled,2018-06-05,5
2,0,Meal Plan 1,N,85,Not_Canceled,2018-07-13,5
2,0,Not Selected,N,1,Not_Canceled,2018-10-20,2
1,0,Meal Plan 1,N,25,Not_Canceled,2018-10-17,3
2,0,Meal Plan 1,N,28,Not_Canceled,2017-10-19,5
1,0,Not Selected,N,80,Not_Canceled,2018-03-29,4
2,0,Meal Plan 1,N,11,Not_Canceled,2017-10-09,1
2,0,Meal Plan 1,N,155,Not_Canceled,2018-06-28,7
1,0,Meal Plan 1,N,82,Not_Canceled,2018-05-22,4
1,0,Meal Plan 1,N,13,Not_Canceled,2018-05-09,3
2,0,Meal Plan 1,N,266,Not_Canceled,2018-10-30,4
2,0,Meal Plan 1,N,39,Not_Canceled,2018-03-28,1
1,0,Meal Plan 1,N,13,Not_Canceled,2018-06-01,2
2,0,Not Selected,N,112,Not_Canceled,2018-05-04,4
2,0,Not Selected,N,88,Not_Canceled,2018-04-08,3
2,0,Meal Plan 1,N,56,Not_Canceled,2018-06-08,1
2,0,Meal Plan 1,N,80,Not_Canceled,2018-05-02,2
2,0,Not Selected,N,69,Not_Canceled,2018-04-04,4
2,0,Meal Plan 2,N,55,Not_Canceled,2018-04-06,1
1,0,Meal Plan 1,N,4,Not_Canceled,2018-11-01,3
2,0,Meal Plan 1,N,97,Not_Canceled,2018-05-24,3
2,0,Meal Plan 1,N,44,Not_Canceled,2018-02-17,3
2,0,Not Selected,N,0,Not_Canceled,2018-06-05,1
2,0,Meal Plan 1,N,62,Not_Canceled,2018-11-12,4
2,0,Meal Plan 1,N,86,Not_Canceled,2018-04-17,4
3,0,Meal Plan 1,N,3,Not_Canceled,2018-10-07,4
2,0,Not Selected,N,197,Not_Canceled,2018-08-01,2
2,0,Meal Plan 1,N,143,Not_Canceled,2018-07-12,2
1,0,Meal Plan 2,N,23,Not_Canceled,2018-01-02,3
1,0,Meal Plan 1,N,13,Not_Canceled,2018-11-16,2
2,1,Not Selected,N,11,Not_Canceled,2017-09-13,1
2,0,Meal Plan 1,N,160,Not_Canceled,2018-06-30,4
2,0,Meal Plan 1,N,104,Not_Canceled,2018-10-18,4
2,0,Not Selected,N,2,Not_Canceled,2018-03-22,1
2,0,Not Selected,N,14,Not_Canceled,2018-08-17,5
2,0,Meal Plan 1,N,22,Not_Canceled,2018-05-20,2
1,1,Not Selected,N,37,Not_Canceled,2017-10-24,7
2,0,Meal Plan 2,N,292,Canceled,2018-07-21,2
2,0,Meal Plan 1,N,11,Not_Canceled,2017-09-09,3
2,0,Meal Plan 1,N,86,Not_Canceled,2018-03-31,4
2,0,Meal Plan 1,N,72,Not_Canceled,2018-04-02,2
2,0,Meal Plan 1,N,56,Not_Canceled,2018-05-13,2
2,0,Meal Plan 1,N,189,Not_Canceled,2018-08-08,4
2,0,Meal Plan 1,N,126,Not_Canceled,2018-08-15,5
1,0,Meal Plan 1,N,81,Not_Canceled,2018-11-06,4
2,0,Meal Plan 1,N,92,Not_Canceled,2018-05-30,3
2,0,Meal Plan 1,N,109,Not_Canceled,2018-03-20,3
2,0,Meal Plan 1,N,127,Not_Canceled,2018-03-23,4
2,0,Not Selected,N,156,Not_Canceled,2018-08-24,5
2,0,Meal Plan 1,N,80,Canceled,2017-07-16,2
2,0,Meal Plan 1,N,58,Not_Canceled,2018-11-19,3
2,0,Meal Plan 1,N,111,Not_Canceled,2018-05-02,4
2,0,Meal Plan 1,N,34,Not_Canceled,2018-08-21,5
2,0,Meal Plan 1,N,17,Not_Canceled,2018-12-03,6
1,0,Meal Plan 1,N,4,Not_Canceled,2018-02-27,0
2,0,Meal Plan 1,N,6,Not_Canceled,2017-09-22,3
2,0,Meal Plan 1,N,32,Not_Canceled,2018-07-18,2
2,0,Meal Plan 1,N,4,Not_Canceled,2017-09-22,1
2,0,Meal Plan 1,N,119,Not_Canceled,2018-08-13,4
1,0,Not Selected,N,13,Not_Canceled,2018-12-05,2
2,0,Meal Plan 1,N,59,Not_Canceled,2017-10-15,2
2,1,Meal Plan 1,N,78,Not_Canceled,2018-03-20,7
2,0,Meal Plan 1,N,335,Not_Canceled,2018-10-13,3
2,0,Meal Plan 1,N,103,Not_Canceled,2017-08-22,7
1,0,Not Selected,N,0,Not_Canceled,2018-06-08,2
2,0,Meal Plan 1,N,118,Not_Canceled,2018-03-01,1
2,0,Meal Plan 1,N,56,Not_Canceled,2018-09-05,6
2,0,Meal Plan 1,N,107,Not_Canceled,2018-06-10,2
2,0,Not Selected,N,70,Not_Canceled,2018-04-14,4
2,0,Meal Plan 1,N,76,Not_Canceled,2018-04-01,2
1,2,Meal Plan 1,N,4,Not_Canceled,2017-09-19,4
2,1,Meal Plan 1,N,15,Not_Canceled,2018-03-18,2
2,1,Meal Plan 1,N,77,Not_Canceled,2018-05-12,4
1,0,Meal Plan 1,N,22,Not_Canceled,2018-10-28,2
2,0,Not Selected,N,0,Not_Canceled,2017-10-18,1
2,1,Meal Plan 1,Y,58,Not_Canceled,2018-06-21,1
2,0,Not Selected,N,4,Not_Canceled,2017-08-14,8
2,0,Not Selected,N,35,Not_Canceled,2018-12-02,4
2,0,Not Selected,N,79,Not_Canceled,2018-06-16,6
2,0,Meal Plan 1,N,1,Not_Canceled,2017-10-09,3
2,0,Meal Plan 1,N,21,Not_Canceled,2017-09-03,2
2,0,Not Selected,N,12,Not_Canceled,2018-09-14,2
2,0,Meal Plan 1,N,33,Not_Canceled,2018-02-08,1
1,0,Meal Plan 1,N,164,Not_Canceled,2017-10-02,2
2,0,Meal Plan 1,Y,78,Not_Canceled,2018-03-24,3
2,0,Meal Plan 1,N,18,Canceled,2018-05-31,4
1,0,Meal Plan 1,N,0,Not_Canceled,2017-11-09,4
2,0,Meal Plan 1,N,43,Not_Canceled,2017-10-02,5
2,0,Not Selected,N,177,Canceled,2018-07-26,4
2,0,Not Selected,N,47,Not_Canceled,2018-05-21,2
3,0,Meal Plan 1,N,57,Not_Canceled,2018-09-07,3
2,0,Not Selected,N,60,Not_Canceled,2017-11-15,6
2,0,Meal Plan 1,N,0,Not_Canceled,2017-09-16,1
2,0,Meal Plan 2,N,102,Canceled,2017-10-16,2
2,0,Not Selected,N,71,Not_Canceled,2018-10-18,3
3,0,Meal Plan 2,N,111,Not_Canceled,2018-07-23,5
3,0,Meal Plan 1,N,1,Not_Canceled,2018-06-11,2
2,0,Not Selected,N,4,Not_Canceled,2018-01-16,2
2,0,Meal Plan 1,N,25,Not_Canceled,2017-09-14,4
2,0,Not Selected,N,53,Not_Canceled,2017-09-02,7
1,0,Meal Plan 1,N,1,Not_Canceled,2017-08-12,2
1,0,Meal Plan 1,N,4,Not_Canceled,2017-08-23,3
2,0,Meal Plan 1,N,302,Canceled,2018-12-29,3
2,0,Meal Plan 1,N,122,Not_Canceled,2018-04-15,2
1,0,Meal Plan 1,N,16,Not_Canceled,2018-03-11,1
2,0,Meal Plan 1,N,28,Canceled,2018-08-28,6
3,0,Meal Plan 1,N,57,Not_Canceled,2018-12-09,2
2,0,Meal Plan 1,N,19,Not_Canceled,2018-06-12,1
3,0,Meal Plan 1,N,109,Not_Canceled,2018-07-06,6
1,0,Meal Plan 1,N,33,Not_Canceled,2018-03-05,3
2,0,Meal Plan 1,N,11,Not_Canceled,2017-08-18,3
3,0,Meal Plan 1,N,40,Not_Canceled,2018-04-21,7
3,0,Meal Plan 1,N,45,Not_Canceled,2018-06-18,2
2,0,Not Selected,N,62,Canceled,2018-03-09,4
1,0,Meal Plan 1,N,113,Canceled,2018-09-07,5
2,0,Not Selected,Y,1,Not_Canceled,2018-08-10,2
2,2,Meal Plan 1,N,84,Not_Canceled,2018-05-13,4
2,0,Meal Plan 1,N,9,Not_Canceled,2018-09-07,1
3,0,Meal Plan 1,N,245,Canceled,2018-10-28,3
2,0,Meal Plan 1,N,80,Not_Canceled,2018-03-17,4
2,0,Meal Plan 1,N,7,Canceled,2018-08-22,2
2,1,Meal Plan 1,N,128,Not_Canceled,2017-08-08,2
2,0,Meal Plan 1,N,100,Not_Canceled,2018-05-01,3
2,0,Meal Plan 1,N,118,Canceled,2018-04-03,3
1,0,Meal Plan 2,N,41,Not_Canceled,2017-09-04,1
2,0,Meal Plan 1,N,174,Not_Canceled,2018-08-13,4
2,1,Meal Plan 2,N,27,Not_Canceled,2017-12-27,3
2,0,Meal Plan 1,N,2,Not_Canceled,2018-11-16,8
1,0,Meal Plan 1,N,37,Not_Canceled,2018-10-13,3
1,0,Meal Plan 1,N,188,Canceled,2018-06-15,2
2,0,Meal Plan 1,N,68,Not_Canceled,2018-01-02,3
2,0,Meal Plan 1,N,10,Not_Canceled,2018-05-16,1
3,0,Meal Plan 1,N,19,Not_Canceled,2018-02-20,3
2,0,Meal Plan 1,N,95,Not_Canceled,2017-12-29,4
2,0,Meal Plan 2,N,83,Not_Canceled,2017-09-30,1
2,0,Meal Plan 1,N,19,Canceled,2018-07-25,1
2,2,Meal Plan 1,N,22,Not_Canceled,2018-09-16,2
2,0,Meal Plan 1,N,22,Not_Canceled,2017-12-26,3
2,0,Meal Plan 1,N,26,Not_Canceled,2018-02-28,3
2,0,Meal Plan 2,N,79,Not_Canceled,2018-06-24,2
2,0,Meal Plan 1,N,189,Not_Canceled,2018-07-17,5
3,0,Meal Plan 1,N,27,Not_Canceled,2018-02-22,3
1,0,Meal Plan 1,N,51,Not_Canceled,2018-05-22,1
1,0,Meal Plan 1,N,13,Not_Canceled,2017-10-18,2
2,0,Meal Plan 1,N,19,Not_Canceled,2017-10-06,3
2,0,Meal Plan 1,N,67,Not_Canceled,2018-05-27,2
2,0,Meal Plan 1,N,0,Not_Canceled,2017-08-11,1
2,0,Meal Plan 2,N,273,Canceled,2017-07-17,2
1,0,Meal Plan 1,N,0,Not_Canceled,2017-12-15,1
2,0,Meal Plan 1,N,32,Not_Canceled,2017-10-23,3
2,0,Meal Plan 1,N,282,Not_Canceled,2017-10-10,3
2,0,Meal Plan 1,N,38,Not_Canceled,2018-10-02,4
2,0,Not Selected,N,175,Not_Canceled,2018-07-23,2
2,0,Meal Plan 1,N,127,Not_Canceled,2018-06-26,4
1,0,Meal Plan 1,N,0,Not_Canceled,2017-09-08,1
2,1,Meal Plan 1,N,95,Not_Canceled,2018-12-21,7
1,0,Meal Plan 1,N,118,Not_Canceled,2018-06-06,3
2,0,Meal Plan 1,N,45,Not_Canceled,2018-11-10,3
3,0,Meal Plan 1,N,69,Not_Canceled,2018-07-25,2
2,0,Not Selected,N,57,Not_Canceled,2018-09-07,1
1,0,Meal Plan 1,N,5,Not_Canceled,2018-08-24,2
2,0,Meal Plan 2,N,39,Not_Canceled,2017-08-14,2
2,0,Meal Plan 1,N,0,Not_Canceled,2018-02-24,1
3,0,Meal Plan 1,N,89,Not_Canceled,2018-08-15,2
2,0,Meal Plan 1,N,85,Not_Canceled,2018-03-29,4
1,0,Meal Plan 1,Y,4,Not_Canceled,2018-07-01,1
1,0,Meal Plan 1,N,12,Not_Canceled,2018-07-11,2
2,0,Meal Plan 1,N,77,Not_Canceled,2018-05-14,4
2,1,Meal Plan 1,N,14,Not_Canceled,2018-10-22,2
2,0,Meal Plan 1,N,133,Not_Canceled,2018-06-13,4
2,0,Meal Plan 1,N,3,Not_Canceled,2017-08-10,3
2,0,Meal Plan 1,N,19,Not_Canceled,2018-09-18,2
2,0,Meal Plan 1,N,86,Not_Canceled,2018-09-03,4
2,0,Meal Plan 1,N,23,Not_Canceled,2017-10-16,2
2,0,Meal Plan 1,N,65,Not_Canceled,2018-09-22,1
2,0,Meal Plan 1,N,1,Not_Canceled,2018-11-16,2
2,0,Meal Plan 1,N,66,Not_Canceled,2017-11-19,1
3,0,Meal Plan 1,N,50,Not_Canceled,2018-02-22,5
2,0,Meal Plan 2,N,87,Canceled,2018-06-26,5
2,0,Meal Plan 1,N,159,Not_Canceled,2018-04-09,2
2,0,Meal Plan 2,N,39,Not_Canceled,2018-08-13,5
2,2,Meal Plan 1,N,22,Not_Canceled,2017-12-29,5
2,0,Meal Plan 1,N,102,Not_Canceled,2018-07-10,4
4,0,Meal Plan 1,N,86,Not_Canceled,2018-10-20,3
2,0,Meal Plan 1,N,56,Not_Canceled,2017-09-25,4
2,0,Meal Plan 1,N,36,Not_Canceled,2018-12-10,8
2,0,Meal Plan 1,N,50,Not_Canceled,2018-10-04,3
2,0,Meal Plan 1,N,115,Canceled,2018-10-27,2
1,0,Meal Plan 1,N,0,Not_Canceled,2018-03-23,1
2,0,Meal Plan 1,N,17,Not_Canceled,2018-05-21,3
2,0,Meal Plan 1,N,125,Not_Canceled,2018-09-07,4
2,0,Not Selected,N,5,Not_Canceled,2018-09-18,2
2,0,Meal Plan 2,N,102,Not_Canceled,2017-10-16,2
3,0,Meal Plan 1,N,9,Not_Canceled,2018-03-20,3
1,0,Meal Plan 1,N,11,Not_Canceled,2017-09-15,3
1,0,Meal Plan 1,N,0,Not_Canceled,2018-02-19,1
2,1,Meal Plan 1,N,86,Not_Canceled,2018-03-23,5
1,0,Meal Plan 1,Y,18,Not_Canceled,2018-10-18,1
2,0,Meal Plan 1,N,58,Not_Canceled,2018-03-04,2
2,0,Not Selected,N,54,Not_Canceled,2018-04-30,3
2,0,Meal Plan 1,N,107,Not_Canceled,2017-09-09,2
1,0,Meal Plan 2,N,100,Not_Canceled,2018-09-28,4
2,0,Not Selected,N,29,Not_Canceled,2018-03-18,1
2,0,Meal Plan 1,N,81,Not_Canceled,2018-01-29,3
2,0,Not Selected,N,23,Not_Canceled,2018-04-08,1
2,0,Meal Plan 1,N,20,Not_Canceled,2018-06-18,3
3,0,Meal Plan 1,N,85,Canceled,2018-08-03,3
2,0,Meal Plan 1,N,71,Not_Canceled,2018-05-30,4
2,0,Meal Plan 1,N,48,Not_Canceled,2018-11-04,2
1,0,Not Selected,N,37,Not_Canceled,2018-05-13,1
1,0,Meal Plan 1,N,13,Not_Canceled,2018-01-20,1
1,0,Meal Plan 1,N,3,Not_Canceled,2018-06-27,1
2,0,Meal Plan 1,N,75,Not_Canceled,2017-12-07,3
1,0,Meal Plan 1,N,5,Not_Canceled,2018-04-05,1
2,0,Meal Plan 1,N,180,Not_Canceled,2018-05-02,2
2,0,Meal Plan 1,N,224,Not_Canceled,2017-10-02,3
2,0,Meal Plan 1,N,24,Not_Canceled,2018-05-29,4
1,0,Meal Plan 1,N,1,Not_Canceled,2018-08-04,1
2,0,Meal Plan 1,N,120,Canceled,2018-04-08,5
2,0,Meal Plan 2,Y,12,Not_Canceled,2018-03-24,4
1,0,Meal Plan 2,N,33,Not_Canceled,2017-10-21,4
2,0,Meal Plan 1,N,24,Not_Canceled,2018-05-13,2
2,0,Meal Plan 1,N,22,Not_Canceled,2017-09-08,1
2,0,Meal Plan 1,N,10,Not_Canceled,2017-10-20,3
2,0,Meal Plan 2,N,230,Canceled,2018-09-06,5
2,0,Meal Plan 1,N,54,Not_Canceled,2018-03-16,4
