no_of_adults,no_of_children,meal_plan,car_parking_space,lead_time,booking_status,booking_date,no_of_nights
2,0,Meal Plan 1,N,45,Not_Canceled,2017-10-23,1
3,0,Meal Plan 2,N,63,Not_Canceled,2018-10-24,4
2,0,Not Selected,N,166,Not_Canceled,2018-08-06,3
2,0,Meal Plan 1,N,136,Not_Canceled,2018-08-13,3
2,0,Meal Plan 1,N,37,Not_Canceled,2018-03-10,4
2,0,Meal Plan 1,N,66,Not_Canceled,2018-05-11,4
1,0,Meal Plan 1,N,11,Not_Canceled,2017-10-23,1
1,0,Meal Plan 1,Y,1,Not_Canceled,2018-04-01,1
2,0,Meal Plan 1,N,7,Not_Canceled,2018-06-19,4
2,0,Meal Plan 1,N,43,Not_Canceled,2017-10-13,1
1,0,Meal Plan 1,N,53,Not_Canceled,2018-10-14,1
2,0,Meal Plan 1,N,52,Not_Canceled,2018-11-19,3
2,0,Meal Plan 1,N,56,Not_Canceled,2018-06-08,1
1,0,Meal Plan 1,N,12,Not_Canceled,2018-06-08,1
2,1,Meal Plan 1,N,92,Canceled,2018-10-31,4
1,0,Not Selected,N,2,Not_Canceled,2018-05-31,3
2,0,Meal Plan 2,N,74,Not_Canceled,2017-09-18,2
1,0,Meal Plan 1,N,37,Not_Canceled,2018-10-13,3
2,0,Meal Plan 1,N,147,Not_Canceled,2018-07-01,4
1,0,Meal Plan 1,N,2,Not_Canceled,2017-08-26,1
2,0,Meal Plan 1,N,166,Canceled,2018-08-18,8
2,0,Meal Plan 2,Y,28,Not_Canceled,2018-04-11,4
2,0,Meal Plan 2,Y,54,Not_Canceled,2018-07-04,4
2,0,Not Selected,Y,49,Not_Canceled,2018-12-08,4
2,1,Meal Plan 1,Y,1,Not_Canceled,2018-06-18,1
2,0,Meal Plan 1,N,0,Not_Canceled,2017-12-27,3
2,0,Meal Plan 2,N,4,Not_Canceled,2017-08-08,3
2,0,Meal Plan 1,N,60,Not_Canceled,2017-12-09,4
2,0,Meal Plan 1,N,157,Not_Canceled,2017-08-14,1
2,0,Meal Plan 1,N,268,Not_Canceled,2018-04-08,5
2,0,Not Selected,N,38,Canceled,2018-09-26,2
2,0,Meal Plan 1,Y,2,Not_Canceled,2018-10-11,1
2,0,Not Selected,N,217,Not_Canceled,2018-12-05,10
2,0,Meal Plan 1,N,143,Not_Canceled,2018-08-25,3
2,0,Not Selected,N,179,Not_Canceled,2018-10-19,3
1,0,Meal Plan 1,N,188,Canceled,2018-06-15,2
3,0,Meal Plan 1,N,94,Not_Canceled,2018-07-08,4
1,0,Meal Plan 1,N,32,Not_Canceled,2017-11-20,2
3,0,Meal Plan 1,N,2,Not_Canceled,2018-04-01,4
2,0,Meal Plan 1,N,70,Not_Canceled,2017-10-22,3
2,0,Not Selected,N,4,Not_Canceled,2018-09-19,1
2,0,Meal Plan 1,N,34,Not_Canceled,2018-02-28,2
2,2,Meal Plan 1,N,16,Canceled,2018-03-08,1
2,0,Meal Plan 1,N,24,Canceled,2018-02-11,4
2,0,Not Selected,N,78,Not_Canceled,2018-04-10,4
2,0,Meal Plan 1,N,37,Not_Canceled,2018-10-13,3
2,0,Meal Plan 1,N,98,Not_Canceled,2018-04-30,7
2,0,Meal Plan 1,N,14,Not_Canceled,2018-12-05,4
1,0,Not Selected,N,44,Not_Canceled,2018-11-23,2
1,0,Meal Plan 1,N,1,Canceled,2018-02-28,3
2,0,Meal Plan 1,N,213,Canceled,2018-06-07,3
1,0,Meal Plan 1,N,5,Not_Canceled,2018-04-04,2
2,0,Meal Plan 2,N,55,Not_Canceled,2018-04-06,1
2,0,Meal Plan 1,N,139,Not_Canceled,2018-02-11,3
2,0,Meal Plan 1,N,44,Not_Canceled,2018-04-23,3
1,0,Meal Plan 2,N,18,Not_Canceled,2018-02-28,3
1,0,Meal Plan 1,N,0,Not_Canceled,2018-10-17,1
1,0,Meal Plan 1,N,192,Not_Canceled,2018-06-24,2
2,0,Meal Plan 1,N,152,Not_Canceled,2018-06-18,6
3,0,Meal Plan 1,N,42,Not_Canceled,2018-08-30,4
3,0,Meal Plan 1,N,209,Canceled,2018-10-21,5
2,0,Meal Plan 1,N,69,Not_Canceled,2018-03-20,5
2,0,Meal Plan 1,N,80,Not_Canceled,2018-11-18,3
2,0,Meal Plan 1,N,49,Not_Canceled,2017-11-09,3
1,0,Meal Plan 1,N,143,Not_Canceled,2018-08-25,3
2,0,Not Selected,N,67,Not_Canceled,2017-12-05,3
2,0,Meal Plan 2,N,55,Not_Canceled,2018-04-06,1
2,0,Meal Plan 1,N,2,Not_Canceled,2018-08-03,4
2,0,Meal Plan 1,N,99,Canceled,2018-04-10,6
1,0,Meal Plan 1,N,14,Not_Canceled,2017-10-14,2
1,0,Not Selected,N,0,Not_Canceled,2018-10-15,1
2,0,Meal Plan 1,N,22,Not_Canceled,2017-12-24,4
1,0,Meal Plan 1,N,7,Not_Canceled,2018-03-05,3
2,0,Meal Plan 1,N,84,Not_Canceled,2018-03-24,4
2,0,Meal Plan 1,N,109,Not_Canceled,2018-05-04,4
1,0,Meal Plan 1,N,71,Not_Canceled,2018-06-14,3
2,0,Meal Plan 1,N,4,Not_Canceled,2018-04-03,2
1,0,Meal Plan 1,N,71,Not_Canceled,2018-06-14,3
2,0,Not Selected,N,58,Not_Canceled,2018-06-10,1
2,0,Meal Plan 1,N,27,Not_Canceled,2018-02-04,5
1,0,Meal Plan 1,N,9,Not_Canceled,2017-09-10,1
2,1,Meal Plan 1,N,86,Canceled,2018-12-08,3
2,0,Meal Plan 1,N,13,Not_Canceled,2017-12-17,3
2,0,Meal Plan 1,N,0,Not_Canceled,2018-12-05,4
2,0,Meal Plan 1,N,5,Not_Canceled,2018-06-21,2
2,0,Meal Plan 1,N,82,Not_Canceled,2018-03-24,4
2,0,Not Selected,N,3,Not_Canceled,2018-08-22,4
1,0,Meal Plan 1,N,35,Canceled,2018-03-10,1
1,0,Meal Plan 1,N,0,Not_Canceled,2018-11-19,1
2,1,Meal Plan 1,N,7,Not_Canceled,2018-04-07,1
2,0,Not Selected,N,117,Not_Canceled,2018-06-17,5
2,0,Meal Plan 1,N,2,Not_Canceled,2018-06-10,2
2,0,Meal Plan 1,N,26,Not_Canceled,2018-06-08,1
2,0,Not Selected,N,75,Not_Canceled,2018-12-02,4
2,0,Meal Plan 2,N,256,Canceled,2018-06-15,2
2,1,Meal Plan 1,N,137,Not_Canceled,2018-08-21,1
2,0,Meal Plan 1,N,92,Not_Canceled,2017-10-07,4
1,0,Meal Plan 1,N,1,Not_Canceled,2018-11-29,1
2,0,Meal Plan 1,N,18,Not_Canceled,2018-01-02,1
1,0,Meal Plan 1,N,8,Not_Canceled,2018-04-23,1
2,0,Not Selected,N,117,Not_Canceled,2018-11-13,2
2,0,Meal Plan 1,N,10,Not_Canceled,2018-03-19,2
2,0,Meal Plan 1,N,56,Not_Canceled,2017-09-25,4
2,0,Meal Plan 1,N,8,Not_Canceled,2017-10-20,2
2,0,Meal Plan 1,N,33,Canceled,2018-11-26,1
3,0,Meal Plan 1,N,184,Not_Canceled,2018-08-03,7
2,0,Meal Plan 2,N,102,Not_Canceled,2017-10-16,2
2,0,Meal Plan 1,N,45,Canceled,2018-10-07,4
1,0,Meal Plan 1,N,1,Not_Canceled,2018-02-03,1
2,0,Meal Plan 1,N,63,Not_Canceled,2018-09-03,4
2,0,Meal Plan 1,N,89,Not_Canceled,2018-09-16,4
1,0,Meal Plan 1,N,63,Not_Canceled,2018-04-26,2
1,0,Meal Plan 1,N,1,Not_Canceled,2018-04-09,3
1,0,Meal Plan 1,N,51,Not_Canceled,2018-03-16,1
2,0,Meal Plan 1,N,110,Not_Canceled,2018-04-20,2
2,0,Meal Plan 1,N,20,Not_Canceled,2018-07-30,3
2,0,Meal Plan 1,N,48,Not_Canceled,2018-10-11,3
2,0,Meal Plan 1,N,148,Not_Canceled,2017-12-30,5
2,0,Meal Plan 1,N,114,Not_Canceled,2018-08-22,4
1,0,Meal Plan 2,N,257,Not_Canceled,2017-07-01,2
2,0,Meal Plan 1,N,105,Not_Canceled,2018-06-11,7
1,0,Meal Plan 1,N,4,Not_Canceled,2017-11-02,3
2,0,Meal Plan 2,N,67,Not_Canceled,2017-09-06,4
2,0,Meal Plan 1,Y,61,Not_Canceled,2018-09-02,4
2,0,Meal Plan 1,N,79,Not_Canceled,2018-12-30,2
3,0,Meal Plan 1,N,74,Not_Canceled,2018-05-21,1
2,0,Not Selected,N,120,Not_Canceled,2018-05-12,1
2,0,Meal Plan 1,N,157,Not_Canceled,2018-12-08,3
2,0,Meal Plan 1,N,4,Not_Canceled,2018-01-06,4
2,0,Meal Plan 1,N,46,Not_Canceled,2018-08-28,7
1,0,Meal Plan 1,N,41,Not_Canceled,2018-03-13,3
3,0,Meal Plan 1,N,84,Not_Canceled,2018-06-15,5
2,0,Meal Plan 1,N,245,Canceled,2018-06-17,2
2,0,Meal Plan 1,N,27,Not_Canceled,2018-06-29,3
2,0,Meal Plan 1,N,74,Not_Canceled,2017-07-27,10
2,0,Meal Plan 1,N,64,Not_Canceled,2018-04-15,5
1,0,Meal Plan 1,N,0,Not_Canceled,2017-10-01,1
1,0,Meal Plan 1,N,91,Not_Canceled,2018-09-14,2
2,0,Meal Plan 1,N,127,Not_Canceled,2018-04-28,4
2,0,Meal Plan 1,N,73,Not_Canceled,2018-07-14,3
2,0,Meal Plan 1,N,36,Not_Canceled,2018-12-28,4
2,0,Meal Plan 1,N,17,Not_Canceled,2018-12-08,4
2,0,Meal Plan 1,N,0,Not_Canceled,2018-09-27,1
2,0,Meal Plan 1,N,37,Not_Canceled,2018-10-02,3
3,0,Meal Plan 1,N,191,Not_Canceled,2018-08-01,3
2,2,Meal Plan 1,N,33,Not_Canceled,2017-10-17,6
2,0,Meal Plan 1,N,32,Not_Canceled,2017-09-05,3
1,0,Meal Plan 1,N,3,Not_Canceled,2017-09-07,2
2,0,Not Selected,N,53,Not_Canceled,2018-07-10,3
2,0,Meal Plan 2,N,8,Not_Canceled,2018-06-19,1
2,0,Meal Plan 2,N,55,Not_Canceled,2018-04-06,1
2,0,Meal Plan 1,N,84,Not_Canceled,2018-04-29,3
2,2,Meal Plan 1,N,0,Not_Canceled,2017-08-25,2
2,0,Meal Plan 1,N,1,Not_Canceled,2018-06-11,2
2,0,Meal Plan 1,N,29,Not_Canceled,2018-12-02,2
2,0,Meal Plan 1,N,41,Not_Canceled,2017-10-14,4
2,0,Meal Plan 1,N,86,Not_Canceled,2017-09-09,2
2,0,Not Selected,N,34,Not_Canceled,2018-06-14,3
2,0,Meal Plan 1,N,101,Canceled,2018-04-04,3
2,0,Meal Plan 1,N,122,Not_Canceled,2018-05-12,2
2,0,Not Selected,N,1,Not_Canceled,2018-02-11,1
2,0,Meal Plan 1,Y,107,Not_Canceled,2018-08-25,2
2,0,Meal Plan 1,N,35,Not_Canceled,2018-04-05,3
1,0,Meal Plan 1,N,192,Not_Canceled,2018-06-24,2
2,0,Meal Plan 1,N,85,Not_Canceled,2018-10-06,4
2,0,Meal Plan 2,N,74,Not_Canceled,2017-09-18,2
1,0,Meal Plan 1,N,116,Not_Canceled,2018-02-28,3
2,0,Meal Plan 1,Y,34,Not_Canceled,2017-09-13,4
2,0,Meal Plan 1,N,149,Canceled,2018-07-10,6
2,0,Not Selected,N,12,Not_Canceled,2018-02-06,4
2,0,Meal Plan 1,N,191,Not_Canceled,2018-03-30,5
2,0,Meal Plan 1,N,37,Not_Canceled,2018-10-13,3
1,0,Meal Plan 1,N,9,Not_Canceled,2018-01-08,5
2,0,Not Selected,N,7,Not_Canceled,2018-10-26,1
2,0,Not Selected,N,0,Not_Canceled,2018-06-07,1
0,2,Meal Plan 1,N,78,Not_Canceled,2018-08-19,3
2,0,Meal Plan 1,N,31,Not_Canceled,2018-09-16,3
2,0,Meal Plan 2,N,37,Not_Canceled,2018-06-17,2
2,0,Meal Plan 1,N,8,Not_Canceled,2018-05-29,3
4,0,Meal Plan 1,N,32,Not_Canceled,2018-08-17,2
2,0,Meal Plan 1,N,48,Not_Canceled,2018-10-31,3
2,0,Meal Plan 1,N,89,Not_Canceled,2017-11-23,3
1,0,Meal Plan 1,N,0,Not_Canceled,2018-03-07,1
2,0,Meal Plan 1,N,15,Not_Canceled,2018-09-20,1
1,0,Meal Plan 1,N,10,Not_Canceled,2018-01-28,1
1,0,Meal Plan 1,N,43,Not_Canceled,2018-05-31,3
2,1,Meal Plan 1,Y,27,Not_Canceled,2018-08-08,2
1,0,Meal Plan 2,N,72,Not_Canceled,2017-09-18,1
2,0,Not Selected,N,10,Not_Canceled,2018-10-16,3
2,0,Meal Plan 1,N,37,Not_Canceled,2018-10-13,3
2,0,Meal Plan 1,N,170,Not_Canceled,2018-04-08,5
1,0,Meal Plan 2,N,265,Not_Canceled,2018-06-24,2
2,0,Meal Plan 1,N,51,Not_Canceled,2018-02-25,3
1,0,Meal Plan 2,N,3,Not_Canceled,2018-02-08,1
2,0,Not Selected,N,34,Not_Canceled,2018-09-11,2
2,0,Meal Plan 1,N,1,Not_Canceled,2018-02-27,1
2,0,Not Selected,Y,77,Not_Canceled,2018-05-01,2
2,0,Meal Plan 1,N,56,Not_Canceled,2017-09-25,4
2,0,Not Selected,N,0,Not_Canceled,2018-06-12,2
1,0,Meal Plan 1,Y,4,Not_Canceled,2018-01-28,3
2,1,Meal Plan 2,N,68,Not_Canceled,2018-09-09,3
2,0,Not Selected,Y,1,Not_Canceled,2018-11-18,1
2,0,Meal Plan 1,N,61,Not_Canceled,2018-03-21,4
2,0,Meal Plan 1,N,40,Not_Canceled,2018-05-13,3
1,0,Meal Plan 1,N,35,Not_Canceled,2018-03-16,2
2,0,Meal Plan 1,N,13,Not_Canceled,2018-12-14,4
2,0,Meal Plan 1,N,271,Not_Canceled,2018-12-03,3
2,0,Meal Plan 2,N,257,Canceled,2017-07-01,2
2,0,Not Selected,N,207,Not_Canceled,2018-07-28,6
2,0,Meal Plan 1,N,108,Not_Canceled,2018-12-25,4
2,0,Not Selected,N,39,Not_Canceled,2018-03-15,3
2,0,Meal Plan 1,N,177,Canceled,2018-08-12,3
2,0,Not Selected,N,15,Not_Canceled,2017-09-17,1
2,0,Meal Plan 1,N,10,Not_Canceled,2018-05-05,1
2,0,Not Selected,N,24,Not_Canceled,2018-09-11,2
1,1,Meal Plan 2,N,76,Not_Canceled,2018-04-24,5
2,0,Not Selected,N,146,Not_Canceled,2018-07-13,3
2,0,Meal Plan 1,N,210,Not_Canceled,2017-10-08,4
2,0,Meal Plan 1,N,16,Not_Canceled,2018-11-16,1
2,0,Meal Plan 1,N,64,Not_Canceled,2018-09-16,2
2,0,Meal Plan 1,N,105,Not_Canceled,2018-10-12,3
2,0,Meal Plan 1,N,0,Not_Canceled,2017-08-09,1
2,0,Not Selected,Y,37,Not_Canceled,2018-02-14,2
2,0,Meal Plan 1,N,54,Canceled,2018-07-02,7
3,0,Meal Plan 1,N,2,Not_Canceled,2018-05-27,1
2,0,Meal Plan 1,N,61,Not_Canceled,2017-10-04,2
2,0,Meal Plan 1,N,11,Not_Canceled,2018-02-13,5
2,0,Meal Plan 2,N,63,Not_Canceled,2017-09-04,2
2,1,Meal Plan 1,N,3,Not_Canceled,2018-02-15,4
2,0,Meal Plan 1,N,62,Canceled,2018-04-16,3
2,0,Meal Plan 1,Y,123,Not_Canceled,2018-08-21,1
2,0,Meal Plan 1,N,13,Not_Canceled,2018-03-02,3
2,0,Meal Plan 2,N,152,Not_Canceled,2018-11-01,4
2,0,Meal Plan 1,N,180,Not_Canceled,2018-05-02,2
2,2,Meal Plan 1,N,222,Canceled,2018-08-14,14
2,0,Meal Plan 1,N,47,Not_Canceled,2018-09-18,4
2,0,Meal Plan 2,N,88,Not_Canceled,2018-05-03,3
2,0,Meal Plan 1,N,26,Canceled,2018-04-27,3
2,0,Meal Plan 1,N,17,Not_Canceled,2017-10-15,5
2,0,Not Selected,N,7,Not_Canceled,2018-12-30,3
2,0,Meal Plan 1,N,128,Not_Canceled,2018-03-18,3
1,0,Meal Plan 1,N,11,Not_Canceled,2018-03-16,3
2,0,Not Selected,N,6,Not_Canceled,2018-03-04,1
2,0,Meal Plan 1,N,23,Not_Canceled,2018-03-17,6
2,0,Meal Plan 2,N,4,Not_Canceled,2017-08-08,3
3,0,Meal Plan 2,N,65,Not_Canceled,2018-12-21,4
1,0,Meal Plan 1,N,21,Not_Canceled,2018-02-25,1
2,0,Meal Plan 2,N,25,Canceled,2018-04-15,5
1,0,Meal Plan 1,N,5,Not_Canceled,2018-05-24,2
2,0,Meal Plan 1,N,6,Not_Canceled,2018-10-20,3
2,1,Meal Plan 1,N,25,Not_Canceled,2018-04-16,3
2,0,Not Selected,N,52,Not_Canceled,2018-12-07,3
2,0,Meal Plan 1,N,18,Not_Canceled,2017-12-01,2
3,0,Meal Plan 1,N,31,Not_Canceled,2018-03-08,3
1,2,Meal Plan 1,N,30,Not_Canceled,2018-09-01,3
2,0,Meal Plan 1,N,194,Not_Canceled,2018-04-17,5
2,0,Meal Plan 1,N,145,Not_Canceled,2018-01-03,3
2,0,Meal Plan 1,N,24,Not_Canceled,2018-05-31,4
2,0,Meal Plan 1,N,124,Not_Canceled,2018-05-06,3
2,0,Meal Plan 1,N,44,Not_Canceled,2018-12-03,4
1,0,Meal Plan 1,N,164,Not_Canceled,2017-10-02,2
2,0,Not Selected,N,153,Not_Canceled,2018-07-27,4
2,0,Not Selected,N,0,Not_Canceled,2018-06-02,1
2,0,Not Selected,N,29,Not_Canceled,2018-07-28,1
2,0,Meal Plan 1,N,59,Not_Canceled,2018-08-29,4
1,0,Meal Plan 1,N,91,Not_Canceled,2018-09-14,3
2,0,Meal Plan 1,N,93,Not_Canceled,2018-04-12,3
1,0,Meal Plan 1,N,4,Not_Canceled,2018-02-15,3
2,0,Meal Plan 1,N,25,Not_Canceled,2018-04-20,2
3,0,Meal Plan 1,N,74,Not_Canceled,2018-12-27,3
1,0,Meal Plan 2,N,265,Not_Canceled,2018-06-24,2
2,0,Meal Plan 1,Y,122,Not_Canceled,2018-08-21,8
2,0,Meal Plan 1,N,119,Not_Canceled,2018-04-29,3
1,0,Meal Plan 1,N,6,Not_Canceled,2018-10-03,1
2,0,Meal Plan 1,N,60,Canceled,2018-03-20,4
2,0,Meal Plan 1,N,1,Not_Canceled,2017-09-30,2
2,0,Meal Plan 1,N,121,Not_Canceled,2018-06-04,4
1,0,Meal Plan 1,N,71,Not_Canceled,2018-06-14,3
2,0,Meal Plan 1,N,71,Not_Canceled,2018-10-21,3
1,0,Meal Plan 1,N,105,Not_Canceled,2018-09-28,1
2,0,Meal Plan 1,Y,6,Not_Canceled,2017-11-06,2
1,0,Not Selected,N,76,Not_Canceled,2018-04-21,1
1,0,Meal Plan 1,N,29,Not_Canceled,2017-09-30,2
2,0,Meal Plan 1,N,81,Not_Canceled,2017-12-06,1
2,0,Not Selected,N,35,Not_Canceled,2018-10-27,3
2,0,Meal Plan 1,N,60,Not_Canceled,2018-05-21,2
1,0,Meal Plan 1,N,34,Not_Canceled,2018-07-19,1
1,0,Meal Plan 1,N,0,Not_Canceled,2018-01-02,2
2,0,Not Selected,N,5,Not_Canceled,2018-07-14,4
2,0,Meal Plan 1,N,48,Not_Canceled,2018-09-04,2
1,0,Meal Plan 1,N,57,Not_Canceled,2018-06-10,3
1,0,Meal Plan 1,N,5,Not_Canceled,2017-09-09,2
2,0,Meal Plan 1,N,130,Not_Canceled,2018-11-26,3
2,1,Meal Plan 1,N,57,Not_Canceled,2017-12-26,10
2,0,Meal Plan 1,N,89,Not_Canceled,2018-04-12,3
2,0,Not Selected,N,221,Canceled,2018-12-29,3
1,0,Meal Plan 1,N,1,Not_Canceled,2017-11-10,2
1,0,Meal Plan 1,N,116,Not_Canceled,2018-02-28,3
2,0,Meal Plan 1,N,139,Not_Canceled,2018-09-05,2
2,0,Meal Plan 2,N,55,Not_Canceled,2018-04-06,1
2,0,Meal Plan 2,N,247,Canceled,2018-06-06,2
2,0,Meal Plan 2,N,74,Not_Canceled,2017-09-18,2
1,0,Meal Plan 1,N,2,Not_Canceled,2017-12-11,1
3,0,Meal Plan 1,N,47,Not_Canceled,2018-07-02,2
2,0,Meal Plan 1,N,56,Not_Canceled,2018-06-08,1
2,0,Meal Plan 2,N,96,Not_Canceled,2017-07-11,3
2,0,Meal Plan 1,N,268,Canceled,2018-04-08,5
2,0,Meal Plan 1,N,32,Not_Canceled,2018-03-11,5
1,0,Meal Plan 1,N,0,Not_Canceled,2017-10-01,1
2,0,Meal Plan 1,N,107,Not_Canceled,2018-06-10,2
3,0,Meal Plan 1,N,46,Not_Canceled,2018-08-24,3
2,0,Not Selected,N,17,Not_Canceled,2018-11-16,4
2,0,Meal Plan 1,Y,1,Not_Canceled,2018-01-04,1
2,0,Meal Plan 1,N,159,Canceled,2018-09-30,5
1,0,Meal Plan 1,N,24,Not_Canceled,2018-09-12,1
2,0,Meal Plan 1,N,17,Not_Canceled,2017-11-03,5
1,0,Not Selected,N,9,Canceled,2018-02-21,3
3,0,Meal Plan 1,N,111,Not_Canceled,2018-09-16,2
2,0,Meal Plan 2,N,74,Not_Canceled,2017-09-18,2
2,0,Meal Plan 2,N,56,Not_Canceled,2017-09-17,2
2,0,Meal Plan 1,N,5,Not_Canceled,2018-05-24,2
2,1,Meal Plan 1,N,3,Not_Canceled,2017-08-20,1
1,0,Meal Plan 1,N,3,Not_Canceled,2018-06-23,1
1,0,Meal Plan 1,N,19,Not_Canceled,2017-10-07,1
2,1,Meal Plan 1,N,33,Not_Canceled,2018-02-26,3
2,0,Not Selected,N,0,Not_Canceled,2018-06-17,1
2,0,Meal Plan 1,N,0,Not_Canceled,2017-08-19,1
2,0,Meal Plan 1,N,69,Not_Canceled,2018-11-04,2
1,0,Meal Plan 1,N,7,Not_Canceled,2017-10-28,2
2,0,Not Selected,N,40,Not_Canceled,2018-03-07,3
2,1,Meal Plan 1,N,73,Canceled,2018-10-12,5
2,0,Meal Plan 1,N,213,Canceled,2018-06-07,3
2,0,Not Selected,N,79,Canceled,2018-04-02,2
2,0,Not Selected,N,6,Not_Canceled,2018-05-08,3
